No.,Identifier,Publication Type,Authors,Book Authors,Book Editors,Book Group Authors,Book Author Full Names,Group Authors,Article Title,Source Title,Document Type,Author Keywords,Abstract,Publisher,Publication Year,DOI Link,,,,
11,0,J,"Robinson, SC",,,,,,"Trust, transparency, and openness: How inclusion of cultural values shapes Nordic national public policy strategies for artificial intelligence (AI)",TECHNOLOGY IN SOCIETY,Article,Digital trust; Openness; Transparency; Artificial Intelligence policy; Technology policy; Cultural values,"Using textual analysis methodology with Hofstede's cultural dimensions as basis for cross-national comparison, the manuscript explores the influence of cultural values of trust, transparency, and openness in Nordic national artificial intelligence (AI) policy documents. Where many AI processes are technologies hidden from view of the citizen, how can public institutions support and ensure these high levels of trust, transparency, and openness in Nordic culture and extend these concepts of digital trust to AI? One solution is by authoring national policy that upholds cultural values and personal rights, ultimately reinforcing these values in their societies. The paper highlights differences in how Nordic nations position themselves using cultural values as organizing principles, with the author showing these values (i.e., trust through clear information and information security, transparency through AI literacy education and clear algorithmic decision making, and openness by creating data lakes and data trusts) support the development of AI technology in society. The analysis shows that three cultural values are upheld and influence Nordic national AI strategies, while themes of privacy, ethics, and autonomy are present, and democracy, a societal building block in the Nordics, is especially prominent in the policies. For policy development, policy leaders must understand that without citizen involvement in AI implementation or lacking citizen AI education, we risk alienating those for who these services are meant to utilize and improve access for.",ELSEVIER SCI LTD,2020,http://dx.doi.org/10.1016/j.techsoc.2020.101421,,,,
12,0,J,"Fitzgerald, KC; Maki, PM; Xu, YX; Jin, W; Dastgheyb, R; Williams, DW; Springer, G; Anastos, K; Gustafson, D; Spence, AB; Adimora, AA; Waldrop, D; Vance, DE; Bolivar, H; Valcour, VG; Rubin, LH",,,,,,Factors Predicting Detrimental Change in Declarative Memory Among Women With HIV: A Study of Heterogeneity in Cognition,FRONTIERS IN PSYCHOLOGY,Article,phenotyping; longitudinal; women; declarative memory; HIV,"Objective Statistical techniques used to study cognitive function in HIV typically yield normative estimates and can mask the heterogeneity in cognitive trajectories over time. We applied a novel statistical approach to identify clusters of individuals with distinct patterns of change in declarative memory in HIV-seropositive (HIV+) and HIV-seronegative (HIV-) women. Methods 1731 women from the Women's Interagency HIV Study, a multi-center, prospective cohort study, completed the Hopkins Verbal Learning Test-Revised (HLVT-R) at 2 visits. To derive subgroups with similar patterns of decline by HIV-serostatus, we used a mixed-effects framework that modeled the trajectory of multiple declarative memory outcomes over time, while simultaneously clustering individuals. Results Of the 1731 participants, 1149 were HIV+ (70% Black/African American [AA]; 30% White/Other [W/O]) and 582 were HIV- (68% AA; 32% W/O). Race stratification was necessary to optimize clustering. Among HIV+AA's, four subgroups emerged: a subgroup with minimal decline, two with accelerated decline, and one with stable but low performance. In HIV- AA, three subgroups emerged: one with minimal decline and two with accelerated decline. In multivariable-adjusted models among HIV+, individuals with accelerated decline were less educated (P < 0.001) and more likely to have a history of depression (P < 0.001) versus those with minimal decline. Similar subgroups were identified in W/O HIV+ and W/O HIV- participants. Conclusion We identified clinically meaningful subgroups of women with distinct phenotypes of declarative memory decline, which depend on race and HIV-serostatus using a data driven approach. Identification of underlying mechanisms and risk factors contributing to the observed differences are warranted. More broadly our modeling approach could be other populations to identify risk factors for accelerated cognitive decline and to personalize interventions.",FRONTIERS MEDIA SA,2020,http://dx.doi.org/10.3389/fpsyg.2020.548521,,,,
13,0,J,"Zhexenova, Z; Amirova, A; Abdikarimova, M; Kudaibergenov, K; Baimakhan, N; Tleubayev, B; Asselborn, T; Johal, W; Dillenbourg, P; CohenMiller, A; Sandygulova, A",,,,,,A Comparison of Social Robot to Tablet and Teacher in a New Script Learning Context,FRONTIERS IN ROBOTICS AND AI,Article,human-robot interaction; child learning; language learning; social robot; cognitive learning theory; learning by teaching; interdisciplinary,"This research occurred in a special context where Kazakhstan's recent decision to switch from Cyrillic to the Latin-based alphabet has resulted in challenges connected to teaching literacy, addressing a rare combination of research hypotheses and technical objectives about language learning. Teachers are not necessarily trained to teach the new alphabet, and this could result in a challenge for children with learning difficulties. Prior research studies in Human-Robot Interaction (HRI) have proposed the use of a robot to teach handwriting to children (Hood et al., 2015; Lemaignan et al., 2016). Drawing on the Kazakhstani case, our study takes an interdisciplinary approach by bringing together smart solutions from robotics, computer vision areas, and educational frameworks, language, and cognitive studies that will benefit diverse groups of stakeholders. In this study, a human-robot interaction application is designed to help primary school children learn both a newly-adopted script and also its handwriting system. The setup involved an experiment with 62 children between the ages of 7-9 years old, across three conditions: a robot and a tablet, a tablet only, and a teacher. Based on the paradigm-learning by teaching-the study showed that children improved their knowledge of the Latin script by interacting with a robot. Findings reported that children gained similar knowledge of a new script in all three conditions without gender effect. In addition, children's likeability ratings and positive mood change scores demonstrate significant benefits favoring the robot over a traditional teacher and tablet only approaches.",FRONTIERS MEDIA SA,2020,http://dx.doi.org/10.3389/frobt.2020.00099,,,,
14,1,C,"Olari, V; Romeike, R",,"Berges, M; Muhling, A; Armoni, M",,,,Addressing AI and Data Literacy in Teacher Education: A Review of Existing Educational Frameworks,"PROCEEDINGS OF THE 16TH WORKSHOP IN PRIMARY AND SECONDARY COMPUTING EDUCATION, WIPSCE 2021",Proceedings Paper,AI Literacy; Data Literacy; K-12 Education; Teacher Education,"Being able to use data and AI technologies responsibly is considered increasingly relevant to all school subjects. Despite this trend, existing AI literacy frameworks used to design educational activities often barely cover data literacy. However, AI cannot be appropriately grasped without data literacy, and working with data requires knowledge of AI on multiple levels. To date, though, no framework has been created that considers AI and data literacy holistically. To address this gap, we examine the relationship between AI and data literacy competencies in existing educational frameworks and propose a preliminary approach that utilizes the data lifecycle to reflect on data literacy competencies relevant to AI. The findings provide a basis for developing a comprehensive approach to the education of K-12 teachers of all subjects in AI and data literacy.",ASSOC COMPUTING MACHINERY,2021,http://dx.doi.org/10.1145/3481312.3481351,,,,
15,0,C,"Coetzee, C; Matthee, M",,"Dennehy, D; Griva, A; Pouloudi, N; Dwivedi, YK; Pappas, I; Mantymaki, M",,,,"Computational Numeracy (CN) for Under-Prepared, Novice Programming Students","RESPONSIBLE AI AND ANALYTICS FOR AN ETHICAL AND INCLUSIVE DIGITIZED SOCIETY, I3E 2021",Proceedings Paper,Numeracy; Computational thinking; Programming; Computational numeracy; Under-prepared ICT students,"Numeracy has become a critically important skill in data rich environments. A large number of first-year ICT students entering HEIs in South Africa lack computational thinking and problem-solving skills and consequently they are not prepared for programming. Many of these students are not proficient enough in numeracy to solve programming problems that require knowledge and understanding of numeracy concepts. A new concept, Computational Numeracy (CN) for under-prepared, novice programming students, is presented in this article. The purpose of this conceptual article is to show how the components of Computational Numeracy were developed by exploring and reviewing its basic building blocks: computational thinking and numeracy. A critical synthesis of published research related to numeracy and computational thinking related to programming skills to define Computational Numeracy for under-prepared, novice programming students, is presented. Six components of computational thinking were selected and mapped to numeracy in a typical programming problem to demonstrate the links between computational thinking and numeracy and how it can be seen as CN. Future research includes the development of a framework to guide lecturers at HEIs on how to teach CN to under-prepared, novice program ming students.",SPRINGER INTERNATIONAL PUBLISHING AG,2021,http://dx.doi.org/10.1007/978-3-030-85447-8_62,,,,
16,0,C,"Peinado, I; de Lera, E; Usero, JM; Clark, C; Treviranus, J; Vanderheiden, G",,"Garibaldi, J; Lam, HK; Back, T; Cottrell, M; Merelo, JJ; Wagner, C; Warwick, K",,,,Digital Inclusion at the Workplace Post Covid19,PROCEEDINGS OF THE 13TH INTERNATIONAL JOINT CONFERENCE ON COMPUTATIONAL INTELLIGENCE (IJCCI),Proceedings Paper,Digital Inclusion; Accessibility; ICT Access; Quality of Life; Life-work; COVID-19; Pandemic; Work; Health; Ageing; Digital Literacy; Skills; Artificial Intelligence; Accessible Workplace,"The rapid advances in information and communication technologies and the widespread adoption of disruptive technologies such as AI and automated systems are changing the work landscape dramatically and are affecting especially older workers and workers with disabilities. Since 2020, the COVID-19 pandemic has accelerated some of these changes, widening the unemployment gap for people with disabilities. To facilitate reskilling and upskilling of older workers and people with disabilities we need to create inclusive work environments that consider their evolving needs and capabilities. The Global Public Inclusive Infrastructure (GPII) provides workers, employers and organizations with tools and methods to include accessibility into their practices and policies. The SmartWork project provides a great opportunity to test how Morphic, the auto-personalization from preference solution provided by the GPII, can help building a more inclusive workplace.",SCITEPRESS,2021,http://dx.doi.org/10.5220/0010722900003063,,,,
17,0,J,"Ozbalci, S",,,,,,"INCLUSIVE WORKPLACE, SOCIAL MOBILITY AND LOGISTICS",LOGFORUM,Article,regional economics; social mobility; logistics; post autistic economics; business informatics,"Background: This study practices the priorities of the World Economic Forum, Global Social Mobility Pillars 10th for the inclusive institutions. Global logistics discussed with accessibility needs in theoretical frameworks of Global Social Mobility Index (rankings for 2020 Turkey 64th, and Poland 30th). It is stated with sociological, technological, and economical improvements in line with on the global agenda. Methods: This article provides a data research, which considers the economic effects of Covid-19 for adults (>= 18 years of age and employed with high digital literacy) during lockdown. Theory of main synthesis is targeting UN Development Goals and WEF's Social Mobility Index. It is developed based on international literature and it is defined with total 100 Turkish people opinions and connected individual's budget with the logistics services. Results: Digital technologies as an enabler of inclusive work are delivering the digital flow with Industry 4.0 by changing the way of logistic services function into another virtual transportation platform. In this paper, with the aim of identifying future directions, more than 100 surveys reviewed focusing on inclusive workplace options. Conclusion: Economies with greater social mobility provide more opportunities with the content of the accessible procedures which useful instrument for each procurement mode; operational, tactical, and strategic. It confirms the efficiency, effectiveness, and experiences of people with the digitalization technologies (SIoV, IoT, Blockchain, RPA, AI, Data Analytics, etc.) It is recommended that the levels explained in this study contribute to future studies by accessible supply chain with inclusive work procedures.",POZNAN SCH LOGISTICS,2021,http://dx.doi.org/10.17270/J.LOG.2021.631,,,,
18,0,C,"Liu, JQ; Jung, YJ",,,ASSOC COMP MACHINERY,,,"Interest Development, Knowledge Learning, and Interactive IR Toward a State-based Approach to Search as Learning",CHIIR '21: PROCEEDINGS OF THE 2021 CONFERENCE ON HUMAN INFORMATION INTERACTION AND RETRIEVAL,Proceedings Paper,Interest development; search as learning; learning-centric IR system,"To support complex search tasks that involve prolonged search sessions and learning goals of varying difficulty, information retrieval (IR) researchers need a more comprehensive understanding of in-situ learning progresses and related factors. Among many cognitive factors associated with learning and searching, we consider interest development as an important dimension because it significantly affects users' learning performances but still remains understudied in interactive IR (IIR). To address this gap, our perspective paper proposes an interest-search-learning (ISL) model to reconceptualize learning in search and characterize the dynamic interplay of interest development, knowledge learning, and searching. Specifically, it achieves three interrelated goals: 1) characterizing the interactions between interest development, learning, and search behaviors; 2) synthesizing and proposing useful measures for capturing in-situ progresses and state variations in interest development and knowledge learning related to search behaviors; 3) identifying new research questions and directions linked to conceptualizing, building, and evaluating learning-centric IR systems. This paper uniquely integrates findings from three research communities (i.e. interest development, learning, IIR) into a cohesive framework and better structures our understanding of the multidimensional cognitive changes in search as learning (SAL). Including the exploration of interest development in SAL research will expand both conceptual and practical visions of AI-assisted learning.",ASSOC COMPUTING MACHINERY,2021,http://dx.doi.org/10.1145/3406522.3446015,,,,
19,0,C,"Voulgari, I; Zammit, M; Stouraitis, E; Liapis, A; Yannakakis, GN",,,ASSOC COMP MACHINERY,,,Learn to Machine Learn: Designing a Game Based Approach for Teaching Machine Learning to Primary and Secondary Education Students,IDC '21: PROCEEDINGS OF INTERACTION DESIGN AND CHILDREN 2021,Proceedings Paper,Game-based learning; AI literacy; AI education; machine learning; digital literacy skills; primary education; secondary education; educational game design,"With the ubiquitous role of Artificial Intelligence (AI) in everyday applications such as smartphones and social media, children need digital literacy skills to navigate the digital world, critically view, and reflect on the social and ethical implications of the design and architecture of AI systems. To address this increasing need for AI literacy skills, particularly for younger students, this paper presents the rationale of the LearnML project which aims to develop a framework and game-based educational material for promoting AI literacy among primary and secondary education students. We also describe the design and initial assessment of the game Art-Bot, developed as part of the LearnML project. We review existing literature, discuss the educational game design and development of ArtBot and describe the initial feedback of students and teachers. Our goal is to provide insights and suggest guidelines for the implementation of game-based learning environments for supporting AI literacy skills of students.",ASSOC COMPUTING MACHINERY,2021,http://dx.doi.org/10.1145/3459990.3465176,,,,
20,0,J,"Sanchez-Acedo, A; Carbonell-Alcocer, A; Gertrudix, M; Rubio-Tamayo, JL",,,,,,The challenges of media and information literacy in the artificial intelligence ecology : deepfakes and misinformation,COMMUNICATION & SOCIETY-SPAIN,Article,Deepfake; artificial intelligence; misinformation; virtual worlds; quasi-experiment; quantitative analysis,"In the ecosystem of artificial intelligence (AI), generative models enable the creation of hyper-realistic manipulations that are extremely plausible due to the precision of the audiovisual objects. These deepfakes are undetectable thanks to their components, which heightens concerns about the distortion of reality in the information ecosystem and how the ability to distinguish between real and fake audiovisual content affects public trust and democratic systems. This is a major challenge for media and information literacy if it is to combat misinformation effectively. In this context, this study presents the results of a quasi-experiment conducted with 80 young people from the Community of Madrid (Spain) to assess their ability to detect deepfakes in immersive environments and to establish whether the context-identifying elements that enable detection of the reputation of the media source shape the credibility of the images. The results show that the images take precedence over the context identifiers, preventing a critical reading of the information that would make it possible to detect visual forgeries, something that is reinforced by their exceptional verisimilitude. It is concluded that the new post-humanist biome of virtual reality and artificial intelligence requires a reorientation of media and information literacy to raise the public's awareness and educate them to make them less susceptible to disinformation based on deepfakes created with generative models.","UNIV NAVARRA, SERVICIO PUBLICACIONES",2021,http://dx.doi.org/10.15581/003.37.4.223-239,,,,
