Article No.,Keyword,BestCategory_max,BestSim_max,Sim_max_Human-centred mindset,Sim_max_Ethics of AI,Sim_max_AI techniques and applications,Sim_max_AI system design
40,ai and society,Ethics of AI,0.6027 ,0.5864 ,0.6027 ,0.5987 ,0.5169 
41,access,Ethics of AI,0.4639 ,0.3280 ,0.4639 ,0.4184 ,0.2596 
1,collaboration,Human-centred mindset,0.4514 ,0.4514 ,0.2287 ,0.3546 ,0.2615 
1,autonomy,Human-centred mindset,0.5094 ,0.5094 ,0.4968 ,0.3404 ,0.2558 
2,recognize,Human-centred mindset,0.4031 ,0.4031 ,0.2862 ,0.2772 ,0.2519 
6,awareness,Human-centred mindset,0.4488 ,0.4488 ,0.4006 ,0.3541 ,0.1961 
7,improving everyday life,Human-centred mindset,0.4363 ,0.4363 ,0.2807 ,0.3381 ,0.1582 
8,communication and collaboration,Human-centred mindset,0.4402 ,0.4402 ,0.2528 ,0.3120 ,0.2845 
9,collaboration,Human-centred mindset,0.4514 ,0.4514 ,0.2287 ,0.3546 ,0.2615 
9,selfreflection,Human-centred mindset,0.4122 ,0.4122 ,0.3364 ,0.2467 ,0.3126 
10,affective,Human-centred mindset,0.4045 ,0.4045 ,0.3605 ,0.2962 ,0.2339 
10,behavioural,Human-centred mindset,0.4859 ,0.4859 ,0.4747 ,0.3938 ,0.3825 
10,cognitive,Human-centred mindset,0.5591 ,0.5591 ,0.4297 ,0.3890 ,0.3687 
14,regulatory advocacy,Human-centred mindset,0.5657 ,0.5657 ,0.4982 ,0.3455 ,0.1531 
16,framework for critical questioning,Human-centred mindset,0.4309 ,0.4309 ,0.3325 ,0.3137 ,0.4100 
18,knowledgecognition,Human-centred mindset,0.4172 ,0.4172 ,0.3279 ,0.3606 ,0.3056 
18,attitudesvalues,Human-centred mindset,0.5363 ,0.5363 ,0.5360 ,0.3154 ,0.3012 
22,appraise,Human-centred mindset,0.4364 ,0.4364 ,0.4098 ,0.3635 ,0.2854 
22,communicate,Human-centred mindset,0.4065 ,0.4065 ,0.2573 ,0.3379 ,0.2714 
22,participate,Human-centred mindset,0.4472 ,0.4472 ,0.2862 ,0.3941 ,0.2730 
24,affective learning,Human-centred mindset,0.4408 ,0.4408 ,0.3325 ,0.4256 ,0.2879 
24,behavioural learning,Human-centred mindset,0.4745 ,0.4745 ,0.3549 ,0.4276 ,0.3147 
24,cognitive learning,Human-centred mindset,0.4898 ,0.4898 ,0.3591 ,0.4107 ,0.3037 
25,behavioral engagement,Human-centred mindset,0.4881 ,0.4881 ,0.4171 ,0.4341 ,0.3874 
25,affective learning,Human-centred mindset,0.4408 ,0.4408 ,0.3325 ,0.4256 ,0.2879 
25,cognitive learning,Human-centred mindset,0.4898 ,0.4898 ,0.3591 ,0.4107 ,0.3037 
27,affective engagement,Human-centred mindset,0.4633 ,0.4633 ,0.3350 ,0.3261 ,0.2715 
27,scientific citizenship,Human-centred mindset,0.6140 ,0.6140 ,0.4058 ,0.2646 ,0.1231 
32,recognize,Human-centred mindset,0.4031 ,0.4031 ,0.2862 ,0.2772 ,0.2519 
32,interact and engage with,Human-centred mindset,0.4633 ,0.4633 ,0.3095 ,0.3605 ,0.2609 
32,social aspects,Human-centred mindset,0.4955 ,0.4955 ,0.3768 ,0.2369 ,0.2107 
32,organizational context,Human-centred mindset,0.4822 ,0.4822 ,0.3262 ,0.4090 ,0.3350 
32,people individual context,Human-centred mindset,0.6897 ,0.6897 ,0.3693 ,0.2541 ,0.1481 
33,knowledge representations,Human-centred mindset,0.4002 ,0.4002 ,0.3721 ,0.3632 ,0.3712 
35,participatory governance models,Human-centred mindset,0.4542 ,0.4542 ,0.3215 ,0.2486 ,0.2398 
35,accountability and oversight structures,Human-centred mindset,0.7667 ,0.7667 ,0.4586 ,0.2819 ,0.3063 
36,criticality,Human-centred mindset,0.4267 ,0.4267 ,0.3884 ,0.3050 ,0.2707 
37,content ai interaction,Human-centred mindset,0.4570 ,0.4570 ,0.3759 ,0.4155 ,0.3140 
37,personal ai security,Human-centred mindset,0.5048 ,0.5048 ,0.4424 ,0.3881 ,0.3500 
37,ai cocreation identity,Human-centred mindset,0.4453 ,0.4453 ,0.4162 ,0.3899 ,0.2758 
37,digital ai citizen identity,Human-centred mindset,0.6545 ,0.6545 ,0.4095 ,0.2643 ,0.2165 
37,ai identity management,Human-centred mindset,0.5784 ,0.5784 ,0.4763 ,0.3850 ,0.3221 
37,ai critical thinking,Human-centred mindset,0.5389 ,0.5389 ,0.5183 ,0.4806 ,0.4006 
37,ai contextual understanding ability,Human-centred mindset,0.5045 ,0.5045 ,0.3601 ,0.4739 ,0.2825 
1,knowledge,Others,0.3958 ,0.3632 ,0.3469 ,0.3958 ,0.3075 
2,know understand,Others,0.3359 ,0.3359 ,0.3151 ,0.2743 ,0.2277 
4,probability,Others,0.3144 ,0.2502 ,0.2745 ,0.2288 ,0.3144 
4,context,Others,0.3915 ,0.3915 ,0.2868 ,0.3532 ,0.3102 
9,impact,Others,0.2944 ,0.2710 ,0.2371 ,0.2686 ,0.2944 
12,subjectobject analysis layer,Others,0.3906 ,0.3553 ,0.3429 ,0.3906 ,0.3151 
17,resource constraints and infrastructure limitations,Others,0.3354 ,0.1878 ,0.2578 ,0.2185 ,0.3354 
17,cultural and linguistic diversity,Others,0.2614 ,0.2614 ,0.1390 ,0.1208 ,0.0781 
17,local economic priorities and workforce needs,Others,0.2139 ,0.2139 ,0.1144 ,0.2055 ,0.1925 
17,existing educational systems and curricula,Others,0.3129 ,0.2986 ,0.2378 ,0.3129 ,0.2626 
18,generic ai literacy,Others,0.3126 ,0.3074 ,0.3126 ,0.2208 ,0.2106 
18,domainspecific ai literacy,Others,0.3739 ,0.3739 ,0.3593 ,0.3140 ,0.2214 
19,teaching,Others,0.3613 ,0.3423 ,0.3271 ,0.3613 ,0.1852 
19,central zone,Others,0.2429 ,0.1829 ,0.1272 ,0.1523 ,0.2429 
20,general vs narrow,Others,0.1426 ,0.1210 ,0.1372 ,0.1336 ,0.1426 
20,representations,Others,0.3556 ,0.3257 ,0.3556 ,0.3365 ,0.3505 
20,ml steps,Others,0.2795 ,0.2523 ,0.1229 ,0.2795 ,0.2634 
20,data literacy,Others,0.3376 ,0.3041 ,0.2696 ,0.3376 ,0.2427 
20,learning from data,Others,0.3681 ,0.2672 ,0.2205 ,0.3681 ,0.2729 
20,critically interpreting data,Others,0.3718 ,0.3718 ,0.3162 ,0.2689 ,0.3236 
20,sensors,Others,0.3994 ,0.3060 ,0.2080 ,0.3994 ,0.3689 
21,tracking,Others,0.3306 ,0.2479 ,0.2188 ,0.3101 ,0.3306 
21,disconnecting,Others,0.2689 ,0.1600 ,0.2117 ,0.1431 ,0.2689 
21,situational mapping,Others,0.3761 ,0.3761 ,0.2132 ,0.3179 ,0.3740 
21,writing ethnographic vignettes,Others,0.3072 ,0.3072 ,0.2712 ,0.1853 ,0.2193 
22,read,Others,0.3386 ,0.2669 ,0.2723 ,0.2082 ,0.3386 
22,write,Others,0.3032 ,0.2883 ,0.3032 ,0.2474 ,0.2730 
25,know and understand,Others,0.3441 ,0.3441 ,0.3142 ,0.2504 ,0.2115 
26,vocabulary,Others,0.3170 ,0.2262 ,0.2906 ,0.3170 ,0.2234 
26,jargon,Others,0.3589 ,0.3376 ,0.3589 ,0.2664 ,0.2561 
26,inner workings,Others,0.3687 ,0.3386 ,0.3185 ,0.3223 ,0.3687 
27,future prospects,Others,0.2828 ,0.2534 ,0.1821 ,0.2816 ,0.2828 
28,acquisition,Others,0.3947 ,0.3911 ,0.2951 ,0.3947 ,0.2663 
28,cleansing,Others,0.3267 ,0.2912 ,0.3267 ,0.2110 ,0.2342 
28,visualization,Others,0.3970 ,0.3970 ,0.2495 ,0.3604 ,0.3494 
28,sharing,Others,0.3192 ,0.2924 ,0.3192 ,0.1495 ,0.1935 
28,erasing,Others,0.2441 ,0.2298 ,0.2441 ,0.2076 ,0.2245 
31,domain,Others,0.3939 ,0.3939 ,0.3512 ,0.3100 ,0.2409 
31,internal support,Others,0.3928 ,0.3603 ,0.3928 ,0.3068 ,0.2317 
32,data,Others,0.3757 ,0.3757 ,0.2657 ,0.3041 ,0.3185 
32,time and chronology,Others,0.2587 ,0.2375 ,0.1549 ,0.1838 ,0.2587 
33,general vs narrow ai,Others,0.3940 ,0.2132 ,0.3230 ,0.3940 ,0.3109 
33,data literacy,Others,0.3376 ,0.3041 ,0.2696 ,0.3376 ,0.2427 
33,critically interpreting data,Others,0.3718 ,0.3718 ,0.3162 ,0.2689 ,0.3236 
33,sensors,Others,0.3994 ,0.3060 ,0.2080 ,0.3994 ,0.3689 
34,technological scientific knowledge,Others,0.3567 ,0.2257 ,0.2859 ,0.3567 ,0.3550 
36,curiosity,Others,0.3509 ,0.3509 ,0.3077 ,0.3459 ,0.2915 
36,continuity,Others,0.3764 ,0.2494 ,0.2405 ,0.2842 ,0.3764 
36,transmissional inquiry pathway,Others,0.3343 ,0.2616 ,0.2841 ,0.2813 ,0.3343 
38,threat appraisal,Others,0.3630 ,0.3538 ,0.3630 ,0.3014 ,0.2596 
41,content,Others,0.2636 ,0.2415 ,0.2573 ,0.2636 ,0.2042 
41,context,Others,0.3915 ,0.3915 ,0.2868 ,0.3532 ,0.3102 
41,values,Others,0.3489 ,0.3466 ,0.3489 ,0.3307 ,0.3135 
